titulo,año,duracion,generos,valoracion_media,num_votos,tipo,url,fecha_extraccion,categoria_extraccion,genero_Serie de TV,genero_Thriller,genero_Animación,genero_Intriga,genero_Aventuras,genero_Acción,genero_Romance,genero_Documental,genero_Western,genero_Bélico,genero_Infantil,genero_Drama,genero_Musical,genero_Fantástico,genero_Comedia,genero_Ciencia ficción,genero_Terror,decada,generos_list,popularidad,epoca,duracion_cat
Mickey 17,2024,137,"['Ciencia ficción', 'Comedia', 'Thriller', 'Fantástico', 'Aventuras']",6.2,5753,Película,https://www.filmaffinity.com/es/film466389.html,2025-04-07,Las más votadas,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2020,"['Ciencia ficción', 'Comedia', 'Thriller', 'Fantástico', 'Aventuras']",Alta,Actual,Largo
Escape,2024,129,"['Comedia', 'Thriller']",5.8,4857,Película,https://www.filmaffinity.com/es/film655074.html,2025-04-07,Las más votadas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,"['Comedia', 'Thriller']",Media,Actual,Largo
Holland,2024,108,"['Thriller', 'Intriga']",4.4,948,Película,https://www.filmaffinity.com/es/film212115.html,2025-04-07,Las más votadas,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,"['Thriller', 'Intriga']",Baja,Actual,Normal
Cuando cae el otoño,2024,102,"['Drama', 'Intriga']",6.7,1548,Película,https://www.filmaffinity.com/es/film580571.html,2025-04-07,Las más votadas,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,"['Drama', 'Intriga']",Media,Actual,Normal
Mufasa: El rey león,2024,110,"['Animación', 'Aventuras', 'Drama', 'Comedia']",6.2,5109,Película,https://www.filmaffinity.com/es/film285949.html,2025-04-07,Las más votadas,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2020,"['Animación', 'Aventuras', 'Drama', 'Comedia']",Alta,Actual,Normal
Amanece en Samaná,2024,99,['Comedia'],4.7,638,Película,https://www.filmaffinity.com/es/film190797.html,2025-04-07,Las más votadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,['Comedia'],Baja,Actual,Normal
Anora,2024,138,"['Drama', 'Comedia']",7.0,16685,Película,https://www.filmaffinity.com/es/film429924.html,2025-04-07,Las más votadas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2020,"['Drama', 'Comedia']",Alta,Actual,Largo
La infiltrada,2024,118,"['Thriller', 'Drama']",7.0,20626,Película,https://www.filmaffinity.com/es/film932478.html,2025-04-07,Las más votadas,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,"['Thriller', 'Drama']",Muy Alta,Actual,Normal
A Complete Unknown,2024,141,['Drama'],6.9,6641,Película,https://www.filmaffinity.com/es/film966380.html,2025-04-07,Las más votadas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,['Drama'],Alta,Actual,Largo
Black Phone,2021,102,"['Terror', 'Thriller', 'Fantástico']",6.2,14275,Película,https://www.filmaffinity.com/es/film386166.html,2025-04-07,Las más votadas,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2020,"['Terror', 'Thriller', 'Fantástico']",Alta,Actual,Normal
Dune: Parte Dos,2024,166,"['Ciencia ficción', 'Aventuras', 'Acción', 'Drama']",7.7,34280,Película,https://www.filmaffinity.com/es/film180929.html,2025-04-07,Acción 2024,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,2020,"['Ciencia ficción', 'Aventuras', 'Acción', 'Drama']",Muy Alta,Actual,Largo
Transformers One,2024,103,"['Animación', 'Acción', 'Aventuras', 'Ciencia ficción']",6.9,1690,Película,https://www.filmaffinity.com/es/film329799.html,2025-04-07,Acción 2024,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2020,"['Animación', 'Acción', 'Aventuras', 'Ciencia ficción']",Media,Actual,Normal
Furiosa: De la saga Mad Max,2024,138,"['Ciencia ficción', 'Acción']",6.7,20343,Película,https://www.filmaffinity.com/es/film501691.html,2025-04-07,Acción 2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020,"['Ciencia ficción', 'Acción']",Muy Alta,Actual,Largo
Deadpool y Lobezno,2024,127,"['Acción', 'Fantástico', 'Comedia', 'Ciencia ficción']",6.7,22099,Película,https://www.filmaffinity.com/es/film202500.html,2025-04-07,Acción 2024,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2020,"['Acción', 'Fantástico', 'Comedia', 'Ciencia ficción']",Muy Alta,Actual,Largo
Civil War,2024,109,"['Acción', 'Bélico', 'Drama', 'Thriller']",6.6,20718,Película,https://www.filmaffinity.com/es/film975245.html,2025-04-07,Acción 2024,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2020,"['Acción', 'Bélico', 'Drama', 'Thriller']",Muy Alta,Actual,Normal
La ciudad de los guerreros,2024,125,"['Acción', 'Thriller']",6.4,580,Película,https://www.filmaffinity.com/es/film322201.html,2025-04-07,Acción 2024,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020,"['Acción', 'Thriller']",Baja,Actual,Largo
Alien: Romulus,2024,119,"['Ciencia ficción', 'Acción', 'Terror']",6.4,18934,Película,https://www.filmaffinity.com/es/film621967.html,2025-04-07,Acción 2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2020,"['Ciencia ficción', 'Acción', 'Terror']",Alta,Actual,Normal
Monkey Man,2024,120,"['Acción', 'Thriller']",6.1,6958,Película,https://www.filmaffinity.com/es/film631601.html,2025-04-07,Acción 2024,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020,"['Acción', 'Thriller']",Alta,Actual,Normal
El señor de los anillos: La guerra de los Rohirrim,2024,130,"['Animación', 'Fantástico', 'Aventuras', 'Acción']",6.0,3955,Película,https://www.filmaffinity.com/es/film984017.html,2025-04-07,Acción 2024,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2020,"['Animación', 'Fantástico', 'Aventuras', 'Acción']",Media,Actual,Largo
Sonic 3: La película,2024,110,"['Aventuras', 'Fantástico', 'Comedia', 'Acción']",6.0,2578,Película,https://www.filmaffinity.com/es/film496838.html,2025-04-07,Acción 2024,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2020,"['Aventuras', 'Fantástico', 'Comedia', 'Acción']",Media,Actual,Normal
Robot salvaje,2024,98,"['Animación', 'Ciencia ficción', 'Aventuras', 'Drama']",7.6,12184,Película,https://www.filmaffinity.com/es/film605382.html,2025-04-07,Ciencia Ficción 2024,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2020,"['Animación', 'Ciencia ficción', 'Aventuras', 'Drama']",Alta,Actual,Normal
La sustancia,2024,140,"['Terror', 'Thriller', 'Ciencia ficción']",6.5,32379,Película,https://www.filmaffinity.com/es/film833687.html,2025-04-07,Ciencia Ficción 2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020,"['Terror', 'Thriller', 'Ciencia ficción']",Muy Alta,Actual,Largo
El reino del planeta de los simios,2024,135,"['Ciencia ficción', 'Aventuras']",6.1,11070,Película,https://www.filmaffinity.com/es/film139117.html,2025-04-07,Ciencia Ficción 2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2020,"['Ciencia ficción', 'Aventuras']",Alta,Actual,Largo
